wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
monolith,11,21,55.57,18.8,46.761771,30.549184,259500
brick,2,12,57.5,8,46.732656,30.580919,3300
brick,3,5,56.2,7,46.725032,30.50563,183000
brick,7,14,56,8.4,46.757561,30.588844,263000
brick,6,9,55,5,46.773768,30.68091,143000
panel,7,17,57.9,12.9,46.741825,30.681004,145000
block,5,12,55,10,46.787811,30.640668,145000
monolith,4,11,55,10,46.784805,30.65666,149900
stalin,2,9,57.4,8,46.776877,30.659301,153000
stalin,6,7,57.8,9,46.765083,30.655526,173000
stalin,2,5,56,7,46.773024,30.595582,176000
brick,5,6,56,8,46.787943,30.592105,179000
monolithBrick,15,16,56,14,46.774305,30.642132,185000
brick,6,8,55,8,46.737137,30.651322,189000
panel,24,24,55,8,46.753058,30.58509,191000
brick,6,6,57.2,7,46.746023,30.59842,199000
monolith,45,46,55,9,46.75133,30.52688,19998999
brick,3,9,56.5,8.9,46.777094,30.009031,1100
brick,8,9,56,6,46.758119,30.538548,118000
brick,4,5,56.4,10,46.753387,30.544306,131000
brick,2,9,57.7,5.4,46.767357,30.556092,135000
monolith,5,7,56.4,13.7,46.783509,30.600303,1500
block,4,6,55,9,46.790246,30.632655,165000
monolith,12,46,56,9,46.75133,30.52688,1700
brick,9,9,56,5.2,46.724642,30.502342,175000
brick,5,5,55.1,6,46.75129,30.5092,177000
brick,9,14,55.7,9.5,46.721447,30.626241,176000
brick,1,5,57,7,46.737193,30.623503,179500
monolith,5,5,58,9,46.763984,30.650655,149900
monolith,5,5,58,27.5,46.774958,30.602901,255000
panel,8,9,58,7,46.783139,30.642601,107000
monolithBrick,2,8,58,6,46.767357,30.556092,134500
stalin,11,15,58.4,9,46.780097,30.668264,169880
brick,4,8,58,10,46.763933,30.564401,172000
brick,2,8,59,10,46.73925,30.643004,188900
monolith,1,9,59.2,11,46.767944,30.582081,201280
brick,4,9,58.4,6,46.731901,30.615668,225000
panel,4,9,58.4,5,46.731901,30.615668,225000
monolith,3,14,58.1,10,46.786703,30.610404,3800
brick,2,16,58,11,46.771925,30.502369,157000
brick,3,8,60,7,46.778132,30.598169,198000
brick,7,9,58,8.5,46.775054,30.588054,208500
stalin,4,7,60,8,46.761041,30.503366,2100
monolith,9,25,58.7,21.5,46.758402,30.549282,213000
panel,11,14,59.4,7.6,46.734151,30.61892,2300
brick,3,4,60,9,46.769048,30.604322,2600
monolith,4,10,58,22.7,46.783357,30.599381,356000
brick,7,10,58,7,46.730826,30.631559,198000
monolith,2,6,62,10,46.746203,30.63643,369000
monolithBrick,5,5,62,20,46.759436,30.605033,249400
brick,5,5,62,20,46.759436,30.605033,249500
monolith,9,79,62,12,46.751143,30.533033,271920
monolith,7,79,62,12,46.751143,30.533033,27013500
brick,6,8,60,9,46.722107,30.50669,222000
monolith,8,11,62.9,12,46.725118,30.502836,4100
brick,1,4,61.7,7,46.72961,30.501363,185000
brick,1,7,60,8,46.756619,30.65399,1900
brick,12,12,60,8,46.74446,30.613018,5000
brick,1,5,62,6.6,46.73256,30.66303,123000
panel,4,12,62.7,7.5,46.734846,30.609208,144900
brick,1,5,62.4,7,46.78938,30.590082,148000
brick,5,5,60,9,46.779028,30.60964,1500
brick,4,7,60.3,8.6,46.766466,30.640668,175000
brick,4,5,60.2,11.1,46.774259,30.593021,177000
brick,1,4,61.7,7,46.72961,30.501363,185000
brick,3,6,62,7,46.758575,30.509098,208000
monolith,2,10,60,25,46.766116,30.560051,2300
brick,4,6,60,7,46.761173,30.5995,2500
monolith,10,21,62,10,46.761644,30.55056,268500
brick,5,13,60,10,46.76363,30.610099,2700
brick,7,11,62.4,9.7,46.716133,30.506492,2800
brick,5,6,60.6,9,46.765392,30.61028,289000
stalin,3,4,60,9,46.769048,30.604322,3500
brick,3,5,61,8.3,46.768638,30.600634,135000
panel,7,12,60,7.7,46.753889,30.650305,138000
brick,5,5,61.4,6.8,46.735146,30.589195,1500
panel,3,12,62.2,7.1,46.785878,30.601034,155000
brick,1,5,60,11,46.771337,30.635566,157000
brick,6,9,62.5,10.5,46.773034,30.605065,189000
brick,6,6,60,7,46.769059,30.630015,1900
panel,7,9,63.3,7,46.782856,30.592321,152000
brick,8,8,64.8,7,46.782198,30.600645,124000
panel,2,14,63,7,46.721351,30.624409,155000
brick,3,5,64.2,9,46.774629,30.620696,183000
block,1,9,64,9.5,46.733812,30.66108,112000
brick,3,3,63,7,46.748148,30.60608,139000
panel,7,16,63,11.1,46.776006,30.646204,146500
monolithBrick,5,7,63,10,46.776294,30.602163,147800
brick,4,6,64.3,8.3,46.725326,30.560051,176000
brick,2,6,63,18,46.761918,30.649624,225000
monolith,6,14,63.1,12.5,46.766116,30.560051,244500
monolithBrick,7,7,64,10,46.725275,30.624822,247500
monolith,7,17,63,15,46.791289,30.598959,289900
brick,7,10,64,8.5,46.754801,30.58455,295000
brick,4,8,63.9,8,46.743497,30.633033,299000
monolith,7,10,63,24.3,46.783357,30.599381,359900
monolith,7,10,63,24.3,46.783357,30.599381,366000
monolith,2,5,63.9,10,46.764425,30.65214,365000
brick,7,10,63.3,12,46.736422,30.651035,1800
monolith,6,44,66.1,14,46.770806,30.564212,1900
monolith,9,13,65.4,15,46.768527,30.592132,275000
brick,4,6,65,8,46.722117,30.62086,165000
monolith,5,21,65.3,8.4,46.737709,30.689932,172800
brick,5,7,65.5,7,46.728353,30.564913,199900
block,4,12,66.1,28,46.738292,30.606062,185000
brick,5,11,66.1,9,46.754897,30.569802,265000
panel,2,12,67,11,46.777464,30.690911,129000
brick,1,5,66,8,46.759765,30.551061,143000
panel,4,12,65,7,46.785878,30.601034,1800
block,4,12,66,28,46.738292,30.606062,185000
brick,4,4,67.5,5,46.767149,30.634892,219900
brick,4,4,65.4,7,46.746375,30.592033,2200
brick,2,5,65,10,46.745149,30.59692,221000
brick,5,6,67,11,46.729807,30.62908,228000
brick,3,9,65.5,10,46.765706,30.5092,2400
brick,6,9,66,10,46.761502,30.598663,3000
monolith,11,85,65,15,46.750028,30.53439,319000
monolith,11,85,65,15,46.74938,30.534092,319000
stalin,14,24,65,9,46.74711,30.642815,388000
block,3,16,65.5,8,46.775793,30.689042,138000
monolith,2,16,65,8.1,46.787923,30.632224,1500
brick,2,5,67,8,46.737345,30.65806,175000
monolith,3,14,67,8,46.754618,30.582682,179000
brick,5,7,66,3.3,46.776294,30.602163,183000
brick,7,15,66.4,8.4,46.731075,30.633985,188000
monolith,10,19,67.1,14.5,46.774548,30.641566,187880
monolith,38,65,68,12,46.751143,30.533033,28840100
monolith,37,65,68,12,46.751143,30.533033,28655970
brick,2,12,69,7.2,46.748665,30.5068,2100
monolith,33,44,68,20,46.770806,30.564212,212000
brick,5,7,68,15,46.754198,30.598645,4500
brick,7,8,69.2,7.2,46.782198,30.600645,125000
brick,2,8,69,9,46.746783,30.560985,208000
brick,5,12,69,9,46.734648,30.658248,2200
monolith,2,10,68.8,22,46.751903,30.664069,288000
stalin,5,8,69.2,8.8,46.758493,30.613198,3900
brick,1,6,68,5.5,46.737633,30.60422,185000
brick,7,7,70,6,46.788054,30.635909,185000
monolith,25,44,69,15,46.770806,30.564212,185000
monolith,5,10,68.3,14,46.77517,30.604022,28754300
stalin,4,8,70,8,46.742215,30.585035,359000
monolith,3,6,68,15,46.744774,30.659865,692000
monolith,3,14,72,20,46.766111,30.560869,279500
brick,5,12,72,6.4,46.74711,30.642815,3800
monolithBrick,5,25,70,12,46.756401,30.530065,239000
brick,3,6,70,12,46.773241,30.60365,249000
brick,7,12,72,15,46.722142,30.618569,495000
brick,1,5,71.2,6,46.773682,30.583436,179500
brick,1,3,70.3,7,46.741247,30.630425,205000
brick,8,8,72,7.8,46.771646,30.584469,204000
monolith,6,17,72.71,12.1,46.761644,30.55056,525000
stalin,3,6,70.4,7.1,46.742889,30.663422,2500
brick,1,5,72.1,7,46.778568,30.643965,15499999
panel,3,22,72.5,9.8,46.745473,30.60084,1900
stalin,7,7,70,8,46.777616,30.6609,2000
brick,3,14,70.5,8,46.779428,30.639222,205000
stalin,2,5,72.1,8.3,46.7242,30.50554,205000
stalin,2,8,71,7.5,46.773596,30.590506,236000
brick,3,6,70.4,7.1,46.742889,30.663422,2500
brick,5,5,71,8,46.750722,30.582412,258700
monolith,7,79,72,19,46.751143,30.533033,259900
monolith,7,79,72,19,46.751143,30.533033,2600
brick,4,8,72.6,27.9,46.773596,30.590506,2600
brick,4,7,72.9,9.8,46.76174,30.608311,295000
stalin,5,7,72.8,7.8,46.764784,30.621004,3000
brick,2,4,71,7,46.765721,30.610518,323500
brick,1,2,72,11,46.744444,30.599408,3300
brick,6,8,70,22,46.760241,30.61134,429000
monolith,6,17,72.71,12.1,46.761644,30.55056,524500
monolith,3,10,74,20,46.764101,30.66044,209900
brick,3,6,73,6,46.754086,30.652661,2300
brick,11,14,73.5,9.5,46.738146,30.628604,2800
brick,9,14,73.1,10,46.788717,30.629888,185000
brick,2,4,73,10,46.781286,30.600388,185000
brick,4,5,74,12,46.773682,30.583436,195000
brick,5,5,74,12.1,46.730542,30.563413,195000
panel,1,16,74,11,46.776451,30.644252,2000
brick,3,5,74,9.2,46.772451,30.594055,215000
brick,2,6,74,8,46.775064,30.59666,239000
brick,2,5,73.4,8.4,46.762865,30.654001,2500
brick,9,15,74.2,8,46.779034,30.615893,2600
brick,8,12,73,10.5,46.735839,30.612551,595000
brick,5,5,73.6,6,46.767347,30.652634,165000
panel,7,17,74.4,12.5,46.743041,30.680659,194000
brick,6,17,74,8,46.774659,30.682134,209000
brick,7,10,73,9,46.736422,30.651035,249000
brick,8,16,75,9,46.78115,30.66008,264000
brick,9,9,75,9,46.736422,30.651035,278000
brick,6,10,74.3,11.5,46.750606,30.580355,297000
brick,8,14,75,7,46.745787,30.642043,3400
monolith,2,7,75,15,46.740036,30.641261,3500
stalin,13,14,74,8.3,46.720778,30.58289,4000
brick,5,14,73,17,46.722142,30.618569,399900
brick,1,5,76,7.5,46.772856,30.596884,209990
brick,12,14,77.2,10.4,46.721447,30.626241,255000
brick,1,8,76.2,6,46.739666,30.590668,2200
monolithBrick,7,21,75,13,46.761629,30.548151,3100
monolithBrick,2,3,76,21,46.76324,30.651825,410400
monolith,10,12,76.2,11.4,46.725164,30.504525,502000
monolith,3,5,77,11,46.774958,30.602901,299500
monolith,8,21,77.73,14,46.761771,30.549184,359500
stalin,5,7,76,14,46.71837,30.581325,4800
brick,4,8,77,13,46.732509,30.636841,274900
stalin,5,5,76.7,9,46.785068,30.639626,168000
panel,15,17,77.4,9.7,46.730735,30.668606,169200
stalin,2,5,77.2,8.2,46.73112,30.564635,199900
brick,3,5,76,12,46.73112,30.564635,2100
brick,11,11,77,9,46.721234,30.506816,2500
brick,1,4,75.6,10,46.746424,30.639006,2600
brick,9,15,75.4,7,46.779034,30.615893,2600
monolith,8,21,77.73,14,46.761771,30.549184,3700
stalin,9,12,76.1,10.5,46.740887,30.650621,385000
brick,3,5,75.5,10,46.791395,30.62864,139000
brick,7,7,76.6,8.8,46.780502,30.668956,149900
monolith,4,29,76,14,46.754983,30.52521,159100
brick,3,5,75.5,9,46.790686,30.592581,173000
brick,3,8,75.6,10.9,46.746267,30.650808,179000
brick,8,8,75,9,46.765246,30.65383,219000
monolith,38,40,77.5,11,46.75133,30.52688,2200
brick,1,8,78.6,11,46.733857,30.595698,295000
brick,6,12,78,14,46.742189,30.504992,4600
panel,3,17,79.4,10,46.773758,30.69491,238000
brick,6,7,78,10,46.783119,30.594845,212500
panel,11,11,79,11,46.775479,30.698825,2200
monolithBrick,3,13,79.7,12.4,46.790246,30.632655,225000
monolithBrick,20,24,78,16,46.756401,30.530065,287000
stalin,3,9,78.6,9.4,46.721006,30.584326,3000
monolith,19,21,79.1,15,46.761771,30.549184,4500
panel,6,17,80,13,46.740071,30.683185,2200
panel,6,16,80,10,46.766709,30.558634,2400
brick,9,12,78.8,12,46.779251,30.590962,265000
brick,6,9,80,8,46.717994,30.502369,278000
monolith,69,97,79.5,19,46.749511,30.530083,345400
brick,8,8,80.9,8,46.745235,30.581021,229000
brick,4,10,82.4,8.8,46.739803,30.504426,258000
brick,3,26,80.7,8.8,46.769423,30.649292,268000
brick,16,16,80,20,46.769388,30.580095,4900
brick,3,5,82,13.5,46.741647,30.593318,649750
brick,1,6,82,8,46.779864,30.589626,235000
panel,2,13,81,7,46.733528,30.600995,155000
stalin,3,10,80.8,9.7,46.728626,30.608902,155000
panel,8,10,82.7,8.4,46.746507,30.60512,168000
brick,1,5,80,8.7,46.748782,30.500561,185000
block,12,14,80,13,46.743512,30.685216,185000
panel,11,14,82.4,8.7,46.721265,30.623196,199900
monolithBrick,4,9,81,9,46.770618,30.660016,2000
brick,8,9,82.7,12,46.760641,30.658203,227700
brick,2,8,82.5,10,46.756462,30.569953,263000
brick,5,8,81,10,46.723724,30.506151,279000
panel,5,5,82,10,46.721402,30.604205,3100
monolith,6,8,81,17.4,46.778796,30.598825,398000
stalin,9,13,80,9,46.75896,30.609254,442000
brick,1,5,80.7,9.3,46.721402,30.604205,195000
monolith,6,23,84,14,46.752166,30.526295,213000
brick,6,9,84.8,9.7,46.776046,30.011455,169000
brick,2,5,83.5,8,46.79099,30.594028,195000
brick,1,4,84,10.3,46.778365,30.609182,2200
brick,10,12,84.4,10.6,46.748665,30.5068,4400
brick,2,5,83.1,7,46.763194,30.503142,194990
monolithBrick,16,16,83,9.5,46.776082,30.698699,215000
monolith,12,12,85.12,16.5,46.770811,30.591189,7100
brick,5,6,85.6,10.2,46.762763,30.595206,495000
brick,5,6,86,14,46.75626,30.634093,4400
brick,3,8,85,8.5,46.723521,30.58694,399500
brick,2,8,86,9,46.772578,30.59102,298000
